Name,exp,if_regulated,Dams_Year_Min,Dams_Year_Max,Alpha,Thelta,m,Am_25,D0,kQ,kA,S_sls,fER0,VPDmin,VPDmax,hc,Ts,CFMAX,CFR,CWH,BETA,LP,FC,PERC,K0,K1,K2,UZL,MAXBAS
AUS-HRS_105101A,SimulationRaw,0,,,0.047772886,0.068873113,25.44538714,36.81173774,1.872114421,0.112143085,0.88589047,0.15765849,0.037217318,1.040763975,3.681638574,9.718643837,1.281878245,4.060065371,0.617082319,0.113253781,6.944862395,0.317841634,628.626933,5.30302708,0.343622185,0.364047502,0.04940597,270.6924808,1.833622143
AUS-HRS_116011A,SimulationRaw,0,,,0.022937049,0.035090648,8.430151284,11.20791934,1.593115702,0.849955541,0.792421844,0.148689789,0.144268879,0.666966493,5.170982401,3.381168649,4.881721296,19.62644027,0.019068159,0.64624358,5.78773144,0.473940317,774.4318143,10.10610507,1.996497091,0.238847562,0.03041016,58.12204879,1.05046962
AUS-HRS_126003A,SimulationRaw,0,,,0.037218402,0.018907552,19.91805862,25.58292103,0.648437885,0.72698417,0.701021315,0.046717921,0.03513303,1.257221219,5.028942342,2.763848427,-2.986572989,2.219066656,0.298499401,0.06488591,5.417585768,0.533590629,248.545216,0.909808278,1.274975454,0.545997343,0.030834209,45.83535547,1.597894103
AUS-HRS_215207,SimulationRaw,0,,,0.047562638,0.036081903,13.43847844,39.18379901,1.595906077,0.573856989,0.811102239,0.158298421,0.055713352,1.373807321,6.468253854,1.88660884,-2.125515476,16.75470876,0.795091259,0.671174032,5.499973407,0.659781283,245.8657832,0.356465678,1.219891301,0.556951864,0.025873884,107.0423505,1.39102488
AUS-HRS_221207,SimulationRaw,0,,,0.040080823,0.01810692,19.76993442,24.87418382,0.993938371,0.402146789,0.827058446,0.150889303,0.122512003,0.926907607,6.110381561,4.882624737,-0.152061255,19.10457511,0.330565561,0.469966578,1.131929845,0.854960259,123.5743091,11.39157061,0.487119641,0.112727153,0.035320594,20.05502131,1.323598451
AUS-HRS_221210,SimulationRaw,0,,,0.039434816,0.014647215,23.24868097,7.571450792,1.158753505,0.240180766,0.759712701,0.165776775,0.06355754,1.471090755,5.257958901,9.48027033,4.70654282,0.158471963,0.199934096,0.369462189,6.748832661,0.31858185,285.0581995,51.15662588,1.949873601,0.656128948,0.020064024,16.70938124,1.837309189
AUS-HRS_224201,SimulationRaw,0,,,0.03140606,0.064327436,14.69114378,16.47792631,1.307486823,0.319157826,0.8585049,0.088431048,0.015578102,1.255974535,6.328360996,2.447863083,0.499763585,8.538743485,0.971161605,0.369079448,6.726716415,0.525778372,431.9493148,10.31313288,1.093759595,0.107601689,0.071935779,215.6480858,1.053615391
AUS-HRS_224206,SimulationRaw,0,,,0.035906793,0.018313356,24.74366597,20.27331726,1.541894465,0.78930778,0.83694147,0.132605597,0.098754478,1.11154133,4.796279623,1.953830551,-2.13245283,4.179311964,0.812212047,0.023666127,3.134824607,0.301776995,207.5275203,4.002823336,1.771991112,0.188135596,0.076812728,278.8417249,1.268507105
AUS-HRS_227225,SimulationRaw,0,,,0.038969198,0.0305427,21.43429279,3.408482529,1.824264044,0.741915467,0.70812977,0.15601934,0.009187213,0.724087664,4.351114545,0.27654355,-4.463323631,0.158263114,0.961281002,0.184622985,4.723565136,0.988221124,637.6513528,8.739265044,1.859941868,0.055285692,0.026837421,5.424819986,2.01175196
AUS-HRS_235205,SimulationRaw,0,,,0.047164762,0.04943398,5.729689176,17.99977269,1.152410406,0.758037227,0.882759708,0.103671197,0.086336561,0.743818756,5.263471824,7.033885285,3.798248433,16.17134465,0.172189123,0.703683018,6.314333055,0.400107469,1156.248988,5.934369351,1.409858671,0.361253739,0.07309013,22.24877729,1.767225486
AUS-HRS_236213,SimulationRaw,0,,,0.033826101,0.031249927,25.03687467,14.62234222,1.749045356,0.277356716,0.689798759,0.041599249,0.123267861,0.814347778,5.269797959,2.784063051,1.101011614,15.42952754,0.936774137,0.627072545,6.510955579,0.405666406,531.1105379,14.12955698,1.660706031,0.377733768,0.022515676,257.2913899,1.552762814
AUS-HRS_238208,SimulationRaw,0,,,0.026163573,0.065645741,15.21844581,19.68629939,1.461325898,0.639146867,0.742992295,0.036839876,0.157394897,1.270022664,5.903284597,1.403874502,-2.950141611,2.792990536,0.094501505,0.756214438,6.501983967,0.425218775,1626.583371,91.82447508,0.722214995,0.471198169,0.031140981,74.0000451,3.024139645
AUS-HRS_304499,SimulationRaw,0,,,0.016021658,0.043399853,22.57920905,44.06409843,1.831224653,0.634834598,0.708935093,0.124198361,0.110055691,1.254526153,3.997984221,3.555549021,-0.013274721,14.63405744,0.121892596,0.655313917,3.11181235,0.779514224,1175.772382,0.861599205,1.537364178,0.282422378,0.070316411,210.6780796,1.820811189
AUS-HRS_408200,SimulationRaw,0,,,0.045206079,0.068027333,25.18290659,34.45423457,1.813671055,0.640254513,0.741477145,0.026036247,0.028755858,0.856297596,6.4699326,2.213900787,-0.806192477,19.30628439,0.115611805,0.025389263,6.696723123,0.332177504,490.3736857,26.26785128,1.616928866,0.643822838,0.020084971,6.673155847,1.372157975
