STAID,Name,Station,GaugeLon,GaugeLat,Elev,Continents,Main_climates,Lat_centroid,Lon_centroid,Area,Area_shp,Nested,dLength,dStart,dEnd,DMiss,Q_mean,Flow_mm_yr,P_yr,PET_yr,AI,QP,AI_Basin_ATLAS,Source,FileName,WB_QC,Area_Bias_QC,Data_QC,AI_QC,LAI_multiyr_mean,LAI_trend,LAI_rr,LAI_p,GDAT,GRanD,LC_change_max_abs,dLength_Valid,dStart_1980,dEnd_1980,dLength_Valid_1980,Q_mean_1980,DMiss_1980,dLength_Valid_M,Q_mean_M,DMiss_M,dLength_Valid_M1980,Q_mean_M1980,DMiss_M1980,dStart_M,dEnd_M,dStart_M1980,dEnd_M1980,Region,dor_pc_pva,ire_pc_sse,Trend_group,Annual_group,MainClimates,Area_final
10500000,CAMELS-BR_10500000,estirao_do_repouso,-70.9056,-4.3408,140.4302447,South America,A,-5.488664969,-72.49761945,61581.51,61498.56821,Brazil_17050000,13604,1980/9/22,2019/1/31,0.029048605,2610.316071,1329.903541,2626.757318,1621.929386,1.619526312,0.506290982,1.443010563,Group-Camels,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/CAMELS-BR_10500000.csv,1,1,1,1,5.361447375,-0.002360972,0.025576867,0.358770925,,,0,13604,1980/9/22,2019/1/31,13604,2610.316071,0.029048605,13604,2610.316071,0.029048605,13604,2610.316071,0.029048605,1980/9/22,2019/1/31,1980/9/22,2019/1/31,NSA,0.001760563,0,TRUE,TRUE,equatorial,61581.51
AUS-HRS_105101A,AUS-HRS_105101A,105101A,144.839,-15.281,277.3580016,Australia,A,-15.76313942,144.9730524,2306,2306.485051,AUS-HRS_105101A,18703,1967/12/16,2019/2/28,0,22.2154313,294.7389352,1168.322641,1203.644447,0.970654286,0.252275292,0.999705882,AUS-HRS,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/AUS-HRS_105101A.csv,1,1,1,1,1.633793568,0.013660198,0.635450817,1.00E-08,,,20.00984809,18703,1980/1/1,2019/2/28,14304,19.79857224,0,16254,25.3339243,0.13094156,12393,22.6228931,0.133598993,1967/12/16,2019/2/28,1980/1/1,2019/2/28,NAU,0,0.5,TRUE,TRUE,equatorial,2306
AUS-HRS_116011A,AUS-HRS_116011A,116011A,145.477,-17.605,1031.593058,Australia,C,-17.54524423,145.4895417,90.1,90.22373941,AUS-HRS_116006B,20797,1962/3/23,2019/2/28,0,1.912202529,672.5875774,1210.409857,965.4989924,1.253662476,0.555669283,1.045,AUS-HRS,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/AUS-HRS_116011A.csv,1,1,1,1,2.631604778,0.004869454,0.118430713,0.0429384,,,13.20379227,20797,1980/1/1,2019/2/28,14304,1.862312919,0,17944,2.034706921,0.137183248,12393,1.966015572,0.133598993,1962/3/23,2019/2/28,1980/1/1,2019/2/28,NAU,0,2.666666667,TRUE,TRUE,warm temperate,90.1
AUS-HRS_126003A,AUS-HRS_126003A,126003A,149.399,-21.916,181.156051,Australia,C,-21.92620695,149.3412638,86.3,86.30083982,0,16547,1973/11/10,2019/2/28,0,1.472183611,532.273729,1010.487105,1253.431842,0.806176348,0.52674965,0.68,AUS-HRS,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/AUS-HRS_126003A.csv,1,1,1,1,3.794691402,0.001559705,0.006514434,0.644862702,,,4.023470257,16547,1980/1/1,2019/2/28,14304,1.239886061,0,13697,1.510722699,0.172236659,11986,1.229169599,0.161700937,1973/11/10,2019/2/28,1980/1/7,2019/2/28,EAU,0,5.4,TRUE,TRUE,warm temperate,86.3
AUS-HRS_215207,AUS-HRS_215207,215207,150.183,-34.822,700.2427526,Australia,C,-35.27673179,149.8427164,4660,4658.325569,0,15203,1977/7/16,2019/2/28,0,17.42939861,119.3793482,763.4476855,1033.252577,0.738878085,0.156368734,0.771969697,AUS-HRS,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/AUS-HRS_215207.csv,1,1,1,1,1.625770679,0.005177139,0.198967259,0.007237183,,,5.492296185,15203,1980/1/1,2019/2/28,14304,16.7091016,0,14069,18.64199138,0.074590541,13199,17.91175751,0.077251119,1977/7/16,2019/2/28,1980/1/1,2019/2/28,EAU,0,0.166666667,TRUE,TRUE,warm temperate,4660
AUS-HRS_221207,AUS-HRS_221207,221207,148.914,-37.447,688.2645847,Australia,C,-37.35679936,148.8891582,159.2,160.14815,AUS-HRS_221212,18635,1968/2/22,2019/2/28,0,1.876358854,374.9834487,782.1008681,792.1036333,0.987371898,0.479456633,0.9,AUS-HRS,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/AUS-HRS_221207.csv,1,1,1,1,4.193964472,0.005059022,0.064435957,0.141173117,,,0,18635,1980/1/1,2019/2/28,14304,1.655163101,0,15585,1.959679004,0.163670512,11697,1.71797042,0.182256711,1968/2/22,2019/2/28,1980/1/1,2019/2/28,SAU,0,0,TRUE,TRUE,warm temperate,159.2
AUS-HRS_221210,AUS-HRS_221210,221210,149.519,-37.417,480.4456737,Australia,C,-37.23937333,149.3797395,844.1,844.0030193,0,16990,1972/8/24,2019/2/28,0,3.609493996,136.1800589,756.4363308,895.680614,0.844538018,0.180028448,0.907,AUS-HRS,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/AUS-HRS_221210.csv,1,1,1,1,3.65261523,0.008535421,0.130715892,0.032839506,,,0.484780241,16990,1980/1/1,2019/2/28,14304,3.027455327,0,13636,4.158515474,0.197410241,11446,3.445522803,0.199804251,1972/8/24,2019/2/28,1980/1/1,2019/2/28,SAU,0,0.15,TRUE,TRUE,warm temperate,844.1
AUS-HRS_224201,AUS-HRS_224201,224201,147.17,-37.49,917.5488266,Australia,C,-37.27134068,146.9647497,1974,1972.792503,AUS-Zhang_224215,19437,1965/12/12,2019/2/28,0,18.55981725,297.7785394,774.8260214,716.6526461,1.08117374,0.384316648,1.225625,AUS-HRS,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/AUS-HRS_224201.csv,1,1,1,1,2.765799115,0.004793975,0.056964695,0.167347622,,,2.364151121,19437,1980/1/1,2019/2/28,14304,14.75378932,0,18296,19.59780239,0.058702475,13395,15.62586162,0.063548658,1965/12/12,2019/2/28,1980/1/1,2019/2/28,SAU,0,0.15625,TRUE,TRUE,warm temperate,1974
AUS-HRS_224206,AUS-HRS_224206,224206,147.089,-37.406,920.503903,Australia,C,-37.29203869,146.8712609,1100,1098.822673,AUS-Zhang_224215,21539,1960/3/11,2019/2/28,0,10.31796905,294.1433552,719.8424787,652.6347212,1.102979133,0.408621836,1.235,AUS-HRS,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/AUS-HRS_224206.csv,1,1,1,1,2.785669294,-0.000305043,0.000220817,0.932480694,,,1.973113575,21539,1980/1/1,2019/2/28,14304,9.052756599,0,19211,11.39022978,0.107917344,12690,10.01454676,0.112587413,1960/3/11,2019/2/24,1980/1/1,2019/2/24,SAU,0,0.166666667,TRUE,TRUE,warm temperate,1100
AUS-HRS_227225,AUS-HRS_227225,227225,146.555,-38.469,476.7025292,Australia,C,-38.45310735,146.5293442,20.7,20.65071501,AUS-HRS_227200,18572,1968/4/25,2019/2/28,0,0.263928808,401.9443052,783.739009,759.7163714,1.031620534,0.51285479,1.0225,AUS-HRS,F:/0000Data/Global_StreamFlow_V1-4/Merge_Data/Data_Daily/AUS-HRS_227225.csv,1,1,1,1,4.263878771,-0.004582018,0.055503567,0.173062303,,,0,18572,1980/1/1,2019/2/28,14304,0.229499288,0,15718,0.204613067,0.153672195,12264,0.180902087,0.14261745,1968/4/25,2019/2/28,1980/1/1,2019/2/28,SAU,0,6.75,TRUE,TRUE,warm temperate,20.7
